Name,Description,Effect
Adaptability,Powers up moves of the same type.,Adaptability increases the effectiveness of STAB moves from the usual 1.5× to 2×.
Aerilate,Turns Normal-type moves into Flying-type moves.,"Aerilate causes all Normal-type attacking moves used by the Pokémon to become Flying-type, and increase in power by 20%."
Aftermath,Damages the attacker landing the finishing hit.,"If an attacker faints a Pokémon with Aftermath using a contact move, the attacker will lose 1⁄4 of their maximum HP."
Air Lock,Eliminates the effects of weather.,"Air Lock suppresses all effects brought on by weather, including move power increases, end-of-turn damage, accuracy changes, relevant abilities and so on."
Analytic,Boosts move power when the Pokémon moves last.,"Boosts move power when the Pokémon moves last.
"
Anger Point,Maxes Attack after taking a critical hit.,Anger Point raises the ability-bearer's Attack to its maximum level - +6 stages or 4× usual power - when a move targeting it receives a critical hit.
Anger Shell,Lowers Defense/Sp. Def and raises Attack/Sp. Atk/Speed when HP drops below half.,"When the Pokémon's HP drops below half, Anger Shell lowers its Defense and Special Defense but its Attack, Special Attack and Speed are raised."
Anticipation,Senses a foe's dangerous moves.,"A Pokémon with Anticipation will shudder upon entering battle, if an opponent has a move that is super-effective against it, or a One-Hit-KO move (Fissure, Horn Drill, Guillotine or Sheer Cold). It only activates when the ability-bearer switches in, not when an opponent switches in."
Arena Trap,Prevents the foe from fleeing.,Arena Trap prevents opponents from fleeing or switching out. Raised Pokémon are not affected.
Armor Tail,Prevents opponent using priority moves.,"Armor Tail prevents the opponent from using any moves that have priority, such as Quick Attack."
Aroma Veil,Protects allies from attacks that limit their move choices.,"Protects allies from attacks that limit their move choices.
"
As One,Combines Unnerve and Chilling Neigh/Grim Neigh,"Combines Unnerve and Chilling Neigh/Grim Neigh
"
Aura Break,Reduces power of Dark- and Fairy-type moves.,"Aura Break cancels the effects of the abilities Fairy Aura and Dark Aura and instead reduces the power of Dark-type and Fairy-type moves by 25%, for all Pokémon on the field."
Bad Dreams,Reduces a sleeping foe's HP.,Bad Dreams causes all sleeping opponents to lose 1⁄8 of their maximum HP at the end of each turn.
Ball Fetch,Retrieves a Poké Ball from a failed throw.,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle."
Battery,Raises power of teammates' Special moves.,Battery allows the Pokémon to raise the power of teammates' special moves.
Battle Armor,The Pokémon is protected against critical hits.,Battle Armor prevents the Pokémon from receiving a critical hit.
Battle Bond,Transform into Ash-Greninja after causing opponent to faint.,Battle Bond causes Greninja to transform into Ash-Greninja when it KOs an opponent.
Beads of Ruin,Lowers Special Defense of all Pokémon except itself.,"Lowers Special Defense of all Pokémon except itself.
"
Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,"The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
"
Berserk,Raises Special Attack when HP drops below half.,Berserk raises the Pokémon's Special Attack by one stage when its HP falls below 50%.
Big Pecks,Protects the Pokémon from Defense-lowering attacks.,"Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."
Blaze,Powers up Fire-type moves in a pinch.,Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch).
Bulletproof,Protects the Pokémon from ball and bomb moves.,Bulletproof makes the Pokémon immune to ball and bomb moves.
Cheek Pouch,Restores additional HP when a Berry is consumed.,"Cheek Pouch restores the bearer's HP when a Berry is consumed, on top of the berry's usual effects."
Chilling Neigh,Boosts Attack after knocking out a Pokémon.,"Boosts Attack after knocking out a Pokémon.
"
Chlorophyll,Boosts the Pokémon's Speed in sunshine.,Chlorophyll doubles the ability-bearer's Speed during bright sunshine.
Clear Body,Prevents other Pokémon from lowering its stats.,"Prevents other Pokémon from lowering its stats.
"
Cloud Nine,Eliminates the effects of weather.,"Cloud Nine suppresses all effects brought on by weather, including move power increases, end-of-turn damage, accuracy changes, relevant abilities and so on."
Color Change,Changes the Pokémon's type to the foe's move.,"Color Change changes the ability-bearer's type, when hit by a damage dealing move, to the type of that move. For example being hit by X Scissor will change the Pokémon to Bug-type. Dual-type Pokémon change to single-types."
Comatose,The Pokémon is always asleep but can still attack.,"Comatose causes the Pokémon to behave as if it were asleep, though it doesn't officially have the Sleep status condition. It can still use its regular moves, but cannot be inflicted with any major status condition (sleep, poison, paralysis, burn, or freeze)."
Commander,Goes inside the mouth of an ally Dondozo if one is on the field.,"Goes inside the mouth of an ally Dondozo if one is on the field.
"
Competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.,Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move.
Compound Eyes,The Pokémon's accuracy is boosted.,Compound Eyes raises the ability-bearer's accuracy by 30%.
Contrary,Makes stat changes have an opposite effect.,"Makes stat changes have an opposite effect.
"
Corrosion,The Pokémon can poison Steel and Poison types.,"Corrosion allows the bearer to poison any Pokémon, including Steel and Poison types."
Costar,Copies ally's stat changes on entering battle.,"Copies ally's stat changes on entering battle.
"
Cotton Down,Lowers foe's Speed when hit.,"When a Pokémon with Cotton Down is hit by an attack, it lowers the attacker's Speed."
Cud Chew,Can eat the same Berry twice.,Cud Chew causes the Pokémon to reuse an already consumed Berry at the end of the next turn.
Curious Medicine,Resets all stat changes upon entering battlefield.,"Resets all stat changes upon entering battlefield.
"
Cursed Body,May disable a move used on the Pokémon.,"May disable a move used on the Pokémon.
"
Cute Charm,Contact with the Pokémon may cause infatuation.,"If a Pokémon with Cute Charm is hit by a move that makes contact, there is a 30% chance the attacker will become infatuated. It will not infatuate Pokémon of the same gender, genderless Pokémon, nor those with the ability Oblivious."
Damp,Prevents the use of self-destructing moves.,Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion. It also prevents damage (to the Damp Pokémon only) from the ability Aftermath.
Dancer,Copies the foe's Dance moves.,"When another Pokémon on the field uses any Dance move, Dancer causes the ability-bearer to use that same move immediately afterward. They will still use their own move originally selected, at the usual time (e.g. after the opponent if they are slower)."
Dark Aura,Raises power of Dark type moves for all Pokémon in battle.,Dark Aura raises the power of Dark-type moves by 33% for all Pokémon on the field (not just the ability-bearer).
Dauntless Shield,Boosts Defense in battle.,"Boosts Defense in battle.
"
Dazzling,Protects the Pokémon from high-priority moves.,Dazzling makes the Pokémon immune to high-priority moves (i.e. those with a priority above 0).
Defeatist,Lowers stats when HP drops below half.,"When the HP of a Pokémon with Defeatist falls below 50%, its Attack and Special Attack stats are halved."
Defiant,Sharply raises Attack when the Pokémon's stats are lowered.,Defiant raises the ability-bearer's Attack by two stages when hit by a stat-lowering move.
