Number,Name,Type1,Type2,Total,Attack,Defense,SP Attack,SP Defense,Speed,Weight,Ability1,Ability2,AbilityHA,Possible Moves
0001,Bulbasaur,Grass,Poison,318,45,49,49,65,65,6.9 kg (15.2 lbs),Overgrow,,Chlorophyll,"Amnesia, Attract, Bullet Seed, Charm, Curse, Cut, Double Team, Double-Edge, Endure, Energy Ball, Facade, False Swipe, Flash, Giga Drain, Grass Knot, Grassy Terrain, Growl, Growth, Ingrain, Leaf Storm, Leech Seed, Light Screen, Magical Leaf, Nature Power, Petal Dance, Poison Powder, Power Whip, Protect, Razor Leaf, Rest, Rock Smash, Safeguard, Seed Bomb, Skull Bash, Sleep Powder, Sleep Talk, Sludge, Sludge Bomb, Solar Beam, Strength, Substitute, Sunny Day, Swagger, Sweet Scent, Swords Dance, Synthesis, Tackle, Take Down, Toxic, Vine Whip, Work Up, Worry Seed"
0002,Ivysaur,Grass,Poison,405,60,62,63,80,80,13.0 kg (28.7 lbs),Overgrow,,Chlorophyll,"Amnesia, Attract, Bullet Seed, Charm, Curse, Cut, Double Team, Double-Edge, Endure, Energy Ball, Facade, False Swipe, Flash, Giga Drain, Grass Knot, Grassy Terrain, Growl, Growth, Ingrain, Leaf Storm, Leech Seed, Light Screen, Magical Leaf, Nature Power, Petal Dance, Poison Powder, Power Whip, Protect, Razor Leaf, Rest, Rock Smash, Safeguard, Seed Bomb, Skull Bash, Sleep Powder, Sleep Talk, Sludge, Sludge Bomb, Solar Beam, Strength, Substitute, Sunny Day, Swagger, Sweet Scent, Swords Dance, Synthesis, Tackle, Take Down, Toxic, Vine Whip, Work Up, Worry Seed"
0003,Venusaur,Grass,Poison,525,80,82,83,100,100,100.0 kg (220.5 lbs),Overgrow,,Chlorophyll,"Amnesia, Charm, Curse, Double-Edge, Frenzy Plant, Grassy Terrain, Growl, Growth, Ingrain, Leaf Storm, Leech Seed, Magical Leaf, Nature Power, Petal Blizzard, Petal Dance, Poison Powder, Power Whip, Razor Leaf, Seed Bomb, Skull Bash, Sleep Powder, Sludge, Solar Beam, Sweet Scent, Synthesis, Tackle, Take Down, Vine Whip, Worry Seed"
0003,Venusaur,Grass,Poison,625,80,100,123,122,120,100.0 kg (220.5 lbs),Overgrow,,Chlorophyll,"Amnesia, Charm, Curse, Double-Edge, Frenzy Plant, Grassy Terrain, Growl, Growth, Ingrain, Leaf Storm, Leech Seed, Magical Leaf, Nature Power, Petal Blizzard, Petal Dance, Poison Powder, Power Whip, Razor Leaf, Seed Bomb, Skull Bash, Sleep Powder, Sludge, Solar Beam, Sweet Scent, Synthesis, Tackle, Take Down, Vine Whip, Worry Seed"
0004,Charmander,Fire,,309,39,52,43,60,50,8.5 kg (18.7 lbs),Blaze,,Solar Power,"Ancient Power, Belly Drum, Bite, Body Slam, Brick Break, Counter, Crunch, Dig, Dragon Breath, Dragon Claw, Dragon Dance, Dragon Pulse, Dragon Rush, Dragon Tail, Ember, Endure, Facade, False Swipe, Fire Blast, Fire Fang, Fire Pledge, Fire Punch, Fire Spin, Flame Charge, Flamethrower, Flare Blitz, Fling, Focus Blast, Growl, Heat Wave, Helping Hand, Inferno, Iron Tail, Metal Claw, Outrage, Overheat, Protect, Rest, Rock Slide, Rock Tomb, Scary Face, Scratch, Shadow Claw, Slash, Sleep Talk, Smokescreen, Substitute, Sunny Day, Swift, Swords Dance, Take Down, Tera Blast, Thunder Punch, Will-O-Wisp"
0005,Charmeleon,Fire,,405,58,64,58,80,65,19.0 kg (41.9 lbs),Blaze,,Solar Power,"Ancient Power, Belly Drum, Bite, Body Slam, Brick Break, Counter, Crunch, Dig, Dragon Breath, Dragon Claw, Dragon Dance, Dragon Pulse, Dragon Rush, Dragon Tail, Ember, Endure, Facade, False Swipe, Fire Blast, Fire Fang, Fire Pledge, Fire Punch, Fire Spin, Flame Charge, Flamethrower, Flare Blitz, Fling, Growl, Heat Wave, Helping Hand, Inferno, Iron Tail, Metal Claw, Outrage, Overheat, Protect, Rest, Rock Slide, Rock Tomb, Scary Face, Scratch, Shadow Claw, Slash, Sleep Talk, Smokescreen, Substitute, Sunny Day, Swift, Swords Dance, Take Down, Tera Blast, Thunder Punch, Will-O-Wisp"
0006,Charizard,Fire,Flying,534,78,84,78,109,85,90.5 kg (199.5 lbs),Blaze,,Solar Power,"Acrobatics, Aerial Ace, Air Cutter, Air Slash, Ancient Power, Belly Drum, Bite, Blast Burn, Body Slam, Brick Break, Bulldoze, Counter, Crunch, Dig, Dragon Breath, Dragon Claw, Dragon Dance, Dragon Pulse, Dragon Rush, Dragon Tail, Earthquake, Ember, Endure, Facade, Fire Blast, Fire Fang, Fire Pledge, Fire Punch, Fire Spin, Flame Charge, Flamethrower, Flare Blitz, Fling, Fly, Focus Blast, Giga Impact, Growl, Heat Wave, Helping Hand, Hurricane, Hyper Beam, Inferno, Iron Tail, Metal Claw, Outrage, Overheat, Protect, Rest, Rock Slide, Rock Tomb, Sandstorm, Scary Face, Scratch, Shadow Claw, Slash, Sleep Talk, Smokescreen, Solar Beam, Substitute, Sunny Day, Swift, Swords Dance, Take Down, Tera Blast, Thunder Punch, Will-O-Wisp"
0006,Charizard,Fire,Dragon,634,78,130,111,130,85,90.5 kg (199.5 lbs),Blaze,,Solar Power,"Acrobatics, Aerial Ace, Air Cutter, Air Slash, Ancient Power, Belly Drum, Bite, Blast Burn, Body Slam, Brick Break, Bulldoze, Counter, Crunch, Dig, Dragon Breath, Dragon Claw, Dragon Dance, Dragon Pulse, Dragon Rush, Dragon Tail, Earthquake, Ember, Endure, Facade, Fire Blast, Fire Fang, Fire Pledge, Fire Punch, Fire Spin, Flame Charge, Flamethrower, Flare Blitz, Fling, Fly, Focus Blast, Giga Impact, Growl, Heat Wave, Helping Hand, Hurricane, Hyper Beam, Inferno, Iron Tail, Metal Claw, Outrage, Overheat, Protect, Rest, Rock Slide, Rock Tomb, Sandstorm, Scary Face, Scratch, Shadow Claw, Slash, Sleep Talk, Smokescreen, Solar Beam, Substitute, Sunny Day, Swift, Swords Dance, Take Down, Tera Blast, Thunder Punch, Will-O-Wisp"
0006,Charizard,Fire,Flying,634,78,104,78,159,115,90.5 kg (199.5 lbs),Blaze,,Solar Power,"Acrobatics, Aerial Ace, Air Cutter, Air Slash, Ancient Power, Belly Drum, Bite, Blast Burn, Body Slam, Brick Break, Bulldoze, Counter, Crunch, Dig, Dragon Breath, Dragon Claw, Dragon Dance, Dragon Pulse, Dragon Rush, Dragon Tail, Earthquake, Ember, Endure, Facade, Fire Blast, Fire Fang, Fire Pledge, Fire Punch, Fire Spin, Flame Charge, Flamethrower, Flare Blitz, Fling, Fly, Focus Blast, Giga Impact, Growl, Heat Wave, Helping Hand, Hurricane, Hyper Beam, Inferno, Iron Tail, Metal Claw, Outrage, Overheat, Protect, Rest, Rock Slide, Rock Tomb, Sandstorm, Scary Face, Scratch, Shadow Claw, Slash, Sleep Talk, Smokescreen, Solar Beam, Substitute, Sunny Day, Swift, Swords Dance, Take Down, Tera Blast, Thunder Punch, Will-O-Wisp"
0007,Squirtle,Water,,314,44,48,65,50,64,9.0 kg (19.8 lbs),Torrent,,Rain Dish,"Aqua Jet, Aqua Ring, Aqua Tail, Attract, Aura Sphere, Bite, Blizzard, Brick Break, Brine, Dig, Double Team, Dragon Pulse, Endure, Facade, Fake Out, False Swipe, Flail, Fling, Focus Punch, Gyro Ball, Hail, Haze, Hydro Pump, Ice Beam, Iron Defense, Iron Tail, Life Dew, Mirror Coat, Mist, Muddy Water, Protect, Rain Dance, Rapid Spin, Rest, Rock Smash, Rock Tomb, Scald, Shell Smash, Skull Bash, Sleep Talk, Strength, Substitute, Surf, Swagger, Tackle, Tail Whip, Water Gun, Water Pulse, Water Spout, Waterfall, Withdraw, Work Up, Yawn"
